anzsco_code,anzsco_title,state,date,vacancies
2421,University Lecturers and Tutors,AUST,2026-07-01,320
2422,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),AUST,2026-07-01,57
2491,Education Advisers and Reviewers,AUST,2026-07-01,51.33333
2492,Private Tutors and Teachers,AUST,2026-07-01,91.33333
2493,Teachers of English to Speakers of Other Languages,AUST,2026-07-01,6.66667
2511,Nutrition Professionals,AUST,2026-07-01,124.66667
2512,Medical Imaging Professionals,AUST,2026-07-01,855.66667
2513,Occupational and Environmental Health Professionals,AUST,2026-07-01,1006.66667
2514,Optometrists and Orthoptists,AUST,2026-07-01,110.66667
2515,Pharmacists,AUST,2026-07-01,513.33333
2519,Other Health Diagnostic and Promotion Professionals,AUST,2026-07-01,47
2521,Chiropractors and Osteopaths,AUST,2026-07-01,15.66667
2522,Complementary Health Therapists,AUST,2026-07-01,74.66667
2523,Dental Practitioners,AUST,2026-07-01,543.33333
2524,Occupational Therapists,AUST,2026-07-01,1497.33333
2525,Physiotherapists,AUST,2026-07-01,1220.33333
2526,Podiatrists,AUST,2026-07-01,222
2527,Audiologists and Speech Pathologists/Therapists,AUST,2026-07-01,1004
2531,General Practitioners and Resident Medical Officers,AUST,2026-07-01,5590.33333
2532,Anaesthetists,AUST,2026-07-01,52
2533,Specialist Physicians,AUST,2026-07-01,451
2534,Psychiatrists,AUST,2026-07-01,193
2535,Surgeons,AUST,2026-07-01,78.66667
2539,Other Medical Practitioners,AUST,2026-07-01,290.66667
2541,Midwives,AUST,2026-07-01,242
2542,Nurse Educators and Researchers,AUST,2026-07-01,174
2543,Nurse Managers,AUST,2026-07-01,250.33333
2544,Registered Nurses,AUST,2026-07-01,7344
2611,ICT Business and Systems Analysts,AUST,2026-07-01,1743.33333
2612,Multimedia Specialists and Web Developers,AUST,2026-07-01,66.33333
2613,Software and Applications Programmers,AUST,2026-07-01,3049
2621,"Database and Systems Administrators, and ICT Security Specialists",AUST,2026-07-01,533
2631,Computer Network Professionals,AUST,2026-07-01,370.66667
2632,ICT Support and Test Engineers,AUST,2026-07-01,325.66667
2633,Telecommunications Engineering Professionals,AUST,2026-07-01,65.33333
2711,Barristers,AUST,2026-07-01,61.66667
2713,Solicitors,AUST,2026-07-01,1771.33333
2721,Counsellors,AUST,2026-07-01,429.66667
2722,Ministers of Religion,AUST,2026-07-01,65.66667
2723,Psychologists,AUST,2026-07-01,610.66667
2724,Social Professionals,AUST,2026-07-01,310.33333
2725,Social Workers,AUST,2026-07-01,1231.66667
2726,"Welfare, Recreation and Community Arts Workers",AUST,2026-07-01,2150.33333
3111,Agricultural Technicians,AUST,2026-07-01,85
3112,Medical Technicians,AUST,2026-07-01,458
3113,Primary Products Inspectors,AUST,2026-07-01,14.33333
3114,Science Technicians,AUST,2026-07-01,137.33333
3121,"Architectural, Building and Surveying Technicians",AUST,2026-07-01,2244.33333
3122,Civil Engineering Draftspersons and Technicians,AUST,2026-07-01,219.66667
3123,Electrical Engineering Draftspersons and Technicians,AUST,2026-07-01,206.33333
3124,Electronic Engineering Draftspersons and Technicians,AUST,2026-07-01,69.66667
3125,Mechanical Engineering Draftspersons and Technicians,AUST,2026-07-01,193
3126,Safety Inspectors,AUST,2026-07-01,144
3129,Other Building and Engineering Technicians,AUST,2026-07-01,620.33333
3131,ICT Support Technicians,AUST,2026-07-01,892
3132,Telecommunications Technical Specialists,AUST,2026-07-01,35
3211,Automotive Electricians,AUST,2026-07-01,372.66667
3212,Motor Mechanics,AUST,2026-07-01,3378.66667
3221,"Metal Casting, Forging and Finishing Trades Workers",AUST,2026-07-01,8.66667
3222,Sheetmetal Trades Workers,AUST,2026-07-01,383
3223,Structural Steel and Welding Trades Workers,AUST,2026-07-01,1519
3231,Aircraft Maintenance Engineers,AUST,2026-07-01,129.33333
3232,Metal Fitters and Machinists,AUST,2026-07-01,3005.66667
3233,Precision Metal Trades Workers,AUST,2026-07-01,59.66667
3234,Toolmakers and Engineering Patternmakers,AUST,2026-07-01,16.66667
3241,Panelbeaters,AUST,2026-07-01,229.66667
3242,Vehicle Body Builders and Trimmers,AUST,2026-07-01,26
3243,Vehicle Painters,AUST,2026-07-01,51.33333
3311,Bricklayers and Stonemasons,AUST,2026-07-01,87.66667
3312,Carpenters and Joiners,AUST,2026-07-01,1011
3321,Floor Finishers,AUST,2026-07-01,37.66667
3322,Painting Trades Workers,AUST,2026-07-01,543
3331,Glaziers,AUST,2026-07-01,96.66667
3332,Plasterers,AUST,2026-07-01,75.66667
3333,Roof Tilers,AUST,2026-07-01,120.33333
3334,Wall and Floor Tilers,AUST,2026-07-01,89.66667
3341,Plumbers,AUST,2026-07-01,1448.66667
3411,Electricians,AUST,2026-07-01,3337
3421,Airconditioning and Refrigeration Mechanics,AUST,2026-07-01,457
3422,Electrical Distribution Trades Workers,AUST,2026-07-01,170.33333
3423,Electronics Trades Workers,AUST,2026-07-01,134
3424,Telecommunications Trades Workers,AUST,2026-07-01,87
3511,Bakers and Pastrycooks,AUST,2026-07-01,406
3512,Butchers and Smallgoods Makers,AUST,2026-07-01,140
3513,Chefs,AUST,2026-07-01,2735.66667
3514,Cooks,AUST,2026-07-01,1014
3611,Animal Attendants and Trainers,AUST,2026-07-01,122.66667
3612,Shearers,AUST,2026-07-01,0.66667
3613,Veterinary Nurses,AUST,2026-07-01,135
3621,Florists,AUST,2026-07-01,18
3622,Gardeners,AUST,2026-07-01,866.33333
3623,Greenkeepers,AUST,2026-07-01,198
3624,Nurserypersons,AUST,2026-07-01,51
3911,Hairdressers,AUST,2026-07-01,499.33333
3921,"Binders, Finishers and Screen Printers",AUST,2026-07-01,10
3922,Graphic Pre-press Trades Workers,AUST,2026-07-01,30.33333
3923,Printers,AUST,2026-07-01,26.33333
3931,Canvas and Leather Goods Makers,AUST,2026-07-01,1.66667
3932,Clothing Trades Workers,AUST,2026-07-01,26.33333
3933,Upholsterers,AUST,2026-07-01,11.66667
3941,Cabinetmakers,AUST,2026-07-01,281.66667
3942,Wood Machinists and Other Wood Trades Workers,AUST,2026-07-01,54.66667
3991,Boat Builders and Shipwrights,AUST,2026-07-01,20.66667
3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",AUST,2026-07-01,62
3993,"Gallery, Library and Museum Technicians",AUST,2026-07-01,34.33333
3994,Jewellers,AUST,2026-07-01,42
3995,Performing Arts Technicians,AUST,2026-07-01,93
3996,Signwriters,AUST,2026-07-01,26.33333
3999,Other Miscellaneous Technicians and Trades Workers,AUST,2026-07-01,1161.66667
4111,Ambulance Officers and Paramedics,AUST,2026-07-01,54
4112,"Dental Hygienists, Technicians and Therapists",AUST,2026-07-01,176.66667
4113,Diversional Therapists,AUST,2026-07-01,57.33333
4114,Enrolled and Mothercraft Nurses,AUST,2026-07-01,729.66667
4115,Indigenous Health Workers,AUST,2026-07-01,74
4116,Massage Therapists,AUST,2026-07-01,137.66667
4117,Welfare Support Workers,AUST,2026-07-01,1327.33333
4211,Child Carers,AUST,2026-07-01,3087
4221,Education Aides,AUST,2026-07-01,1700
4231,Aged and Disabled Carers,AUST,2026-07-01,3499.33333
4232,Dental Assistants,AUST,2026-07-01,796
4233,Nursing Support and Personal Care Workers,AUST,2026-07-01,1680
4234,Special Care Workers,AUST,2026-07-01,52.33333
4311,Bar Attendants and Baristas,AUST,2026-07-01,996
4312,Cafe Workers,AUST,2026-07-01,377
4313,Gaming Workers,AUST,2026-07-01,92
4314,Hotel Service Managers,AUST,2026-07-01,205
4315,Waiters,AUST,2026-07-01,1493.66667
4412,Fire and Emergency Workers,AUST,2026-07-01,88.66667
4413,Police,AUST,2026-07-01,13.66667
4421,Prison Officers,AUST,2026-07-01,31.66667
4422,Security Officers and Guards,AUST,2026-07-01,912.33333
4511,Beauty Therapists,AUST,2026-07-01,352.33333
4512,Driving Instructors,AUST,2026-07-01,23.66667
4513,Funeral Workers,AUST,2026-07-01,54.66667
4514,"Gallery, Museum and Tour Guides",AUST,2026-07-01,61.66667
4515,Personal Care Consultants,AUST,2026-07-01,0
4516,Tourism and Travel Advisers,AUST,2026-07-01,262.66667
4517,Travel Attendants,AUST,2026-07-01,23.33333
4521,Fitness Instructors,AUST,2026-07-01,347.66667
4522,Outdoor Adventure Guides,AUST,2026-07-01,12.66667
4523,"Sports Coaches, Instructors and Officials",AUST,2026-07-01,954
4524,Sportspersons,AUST,2026-07-01,103
5111,"Contract, Program and Project Administrators",AUST,2026-07-01,2099
5121,Office Managers,AUST,2026-07-01,1049.33333
5122,Practice Managers,AUST,2026-07-01,342.33333
5211,Personal Assistants,AUST,2026-07-01,302.66667
5212,Secretaries,AUST,2026-07-01,893
5311,General Clerks,AUST,2026-07-01,9284
5321,Keyboard Operators,AUST,2026-07-01,124.33333
5411,Call or Contact Centre Workers,AUST,2026-07-01,1388
5412,Information Officers,AUST,2026-07-01,523.33333
5421,Receptionists,AUST,2026-07-01,2251.66667
5511,Accounting Clerks,AUST,2026-07-01,1773
5512,Bookkeepers,AUST,2026-07-01,431
5513,Payroll Clerks,AUST,2026-07-01,1233.33333
5521,Bank Workers,AUST,2026-07-01,736.66667
5522,Credit and Loans Officers,AUST,2026-07-01,1444.66667
5523,"Insurance, Money Market and Statistical Clerks",AUST,2026-07-01,45
5611,Betting Clerks,AUST,2026-07-01,1.66667
5612,Couriers and Postal Deliverers,AUST,2026-07-01,360.33333
5613,Filing and Registry Clerks,AUST,2026-07-01,138
5614,Mail Sorters,AUST,2026-07-01,20
5615,Survey Interviewers,AUST,2026-07-01,234.66667
5616,Switchboard Operators,AUST,2026-07-01,10.66667
5619,Other Clerical and Office Support Workers,AUST,2026-07-01,61.66667
5911,Purchasing and Supply Logistics Clerks,AUST,2026-07-01,2182
5912,Transport and Despatch Clerks,AUST,2026-07-01,921.66667
5991,Conveyancers and Legal Executives,AUST,2026-07-01,346
5992,Court and Legal Clerks,AUST,2026-07-01,347.66667
5993,Debt Collectors,AUST,2026-07-01,182.66667
5994,Human Resource Clerks,AUST,2026-07-01,59
5995,Inspectors and Regulatory Officers,AUST,2026-07-01,1237.66667
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",AUST,2026-07-01,651.66667
5997,Library Assistants,AUST,2026-07-01,39.33333
5999,Other Miscellaneous Clerical and Administrative Workers,AUST,2026-07-01,277
6111,"Auctioneers, and Stock and Station Agents",AUST,2026-07-01,4.66667
6112,Insurance Agents,AUST,2026-07-01,554
6113,Sales Representatives,AUST,2026-07-01,2385.66667
6121,Real Estate Sales Agents,AUST,2026-07-01,1852.66667
6211,Sales Assistants (General),AUST,2026-07-01,8674.33333
6212,ICT Sales Assistants,AUST,2026-07-01,7.66667
6213,Motor Vehicle and Vehicle Parts Salespersons,AUST,2026-07-01,847
6214,Pharmacy Sales Assistants,AUST,2026-07-01,299.66667
6215,Retail Supervisors,AUST,2026-07-01,212.33333
6216,Service Station Attendants,AUST,2026-07-01,23
6217,Street Vendors and Related Salespersons,AUST,2026-07-01,15.33333
6219,Other Sales Assistants and Salespersons,AUST,2026-07-01,38.33333
6311,Checkout Operators and Office Cashiers,AUST,2026-07-01,72.66667
6391,Models and Sales Demonstrators,AUST,2026-07-01,645.33333
6392,Retail and Wool Buyers,AUST,2026-07-01,66.66667
6393,Telemarketers,AUST,2026-07-01,58.33333
6394,Ticket Salespersons,AUST,2026-07-01,51.66667
6395,Visual Merchandisers,AUST,2026-07-01,74.33333
6399,Other Sales Support Workers,AUST,2026-07-01,184.66667
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",AUST,2026-07-01,1.33333
7112,Industrial Spraypainters,AUST,2026-07-01,209.66667
7113,Paper and Wood Processing Machine Operators,AUST,2026-07-01,16.66667
7114,Photographic Developers and Printers,AUST,2026-07-01,2.66667
7115,Plastics and Rubber Production Machine Operators,AUST,2026-07-01,48
7116,Sewing Machinists,AUST,2026-07-01,98
7117,Textile and Footwear Production Machine Operators,AUST,2026-07-01,15.33333
7119,Other Machine Operators,AUST,2026-07-01,824.66667
7121,"Crane, Hoist and Lift Operators",AUST,2026-07-01,386.33333
7122,"Drillers, Miners and Shot Firers",AUST,2026-07-01,988.33333
7123,Engineering Production Workers,AUST,2026-07-01,184
7129,Other Stationary Plant Operators,AUST,2026-07-01,416.33333
7211,"Agricultural, Forestry and Horticultural Plant Operators",AUST,2026-07-01,83.33333
7212,Earthmoving Plant Operators,AUST,2026-07-01,1342.33333
7213,Forklift Drivers,AUST,2026-07-01,1878.33333
7219,Other Mobile Plant Operators,AUST,2026-07-01,347
7311,Automobile Drivers,AUST,2026-07-01,49
7312,Bus and Coach Drivers,AUST,2026-07-01,373
7313,Train and Tram Drivers,AUST,2026-07-01,92.33333
7321,Delivery Drivers,AUST,2026-07-01,959.33333
7331,Truck Drivers,AUST,2026-07-01,2795
7411,Storepersons,AUST,2026-07-01,2248.33333
8111,Car Detailers,AUST,2026-07-01,150.33333
8112,Commercial Cleaners,AUST,2026-07-01,1858
8113,Domestic Cleaners,AUST,2026-07-01,36.66667
8114,Housekeepers,AUST,2026-07-01,688.33333
8115,Laundry Workers,AUST,2026-07-01,92.33333
8116,Other Cleaners,AUST,2026-07-01,74.33333
8211,Building and Plumbing Labourers,AUST,2026-07-01,928.33333
8212,Concreters,AUST,2026-07-01,162.66667
8213,Fencers,AUST,2026-07-01,42
8214,Insulation and Home Improvement Installers,AUST,2026-07-01,76
8215,Paving and Surfacing Labourers,AUST,2026-07-01,15.66667
8216,Railway Track Workers,AUST,2026-07-01,26.33333
8217,Structural Steel Construction Workers,AUST,2026-07-01,360.66667
8219,Other Construction and Mining Labourers,AUST,2026-07-01,118.33333
8311,Food and Drink Factory Workers,AUST,2026-07-01,115
8312,"Meat Boners and Slicers, and Slaughterers",AUST,2026-07-01,41.33333
8313,"Meat, Poultry and Seafood Process Workers",AUST,2026-07-01,63
8321,Packers,AUST,2026-07-01,541.66667
8322,Product Assemblers,AUST,2026-07-01,207.33333
8391,Metal Engineering Process Workers,AUST,2026-07-01,15
8392,Plastics and Rubber Factory Workers,AUST,2026-07-01,0.33333
8393,Product Quality Controllers,AUST,2026-07-01,520
8394,Timber and Wood Process Workers,AUST,2026-07-01,16
8399,Other Factory Process Workers,AUST,2026-07-01,331.33333
8411,Aquaculture Workers,AUST,2026-07-01,1.33333
8412,Crop Farm Workers,AUST,2026-07-01,85
8413,Forestry and Logging Workers,AUST,2026-07-01,26
8414,Garden and Nursery Labourers,AUST,2026-07-01,259.66667
8415,Livestock Farm Workers,AUST,2026-07-01,151
8416,Mixed Crop and Livestock Farm Workers,AUST,2026-07-01,170.66667
8419,"Other Farm, Forestry and Garden Workers",AUST,2026-07-01,115
8511,Fast Food Cooks,AUST,2026-07-01,28.33333
8512,Food Trades Assistants,AUST,2026-07-01,24
8513,Kitchenhands,AUST,2026-07-01,785.33333
8911,Freight and Furniture Handlers,AUST,2026-07-01,186
8912,Shelf Fillers,AUST,2026-07-01,56
8991,Caretakers,AUST,2026-07-01,121.33333
8992,Deck and Fishing Hands,AUST,2026-07-01,26
8993,Handypersons,AUST,2026-07-01,727
8994,Motor Vehicle Parts and Accessories Fitters,AUST,2026-07-01,218.66667
8995,Printing Assistants and Table Workers,AUST,2026-07-01,77
8996,Recycling and Rubbish Collectors,AUST,2026-07-01,22.66667
8997,Vending Machine Attendants,AUST,2026-07-01,6
8999,Other Miscellaneous Labourers,AUST,2026-07-01,3821.66667
0,New South Wales Total,NSW,2026-07-01,63136.66667
1111,Chief Executives and Managing Directors,NSW,2026-07-01,117.66667
1112,General Managers,NSW,2026-07-01,213.33333
1211,Aquaculture Farmers,NSW,2026-07-01,2
1212,Crop Farmers,NSW,2026-07-01,3.33333
1213,Livestock Farmers,NSW,2026-07-01,17
1214,Mixed Crop and Livestock Farmers,NSW,2026-07-01,27.66667
1311,Advertising and Sales Managers,NSW,2026-07-01,1723.33333
1321,Corporate Services Managers,NSW,2026-07-01,200
1322,Finance Managers,NSW,2026-07-01,356.66667
1323,Human Resource Managers,NSW,2026-07-01,179
1324,Policy and Planning Managers,NSW,2026-07-01,541.66667
1325,Research and Development Managers,NSW,2026-07-01,46.33333
1331,Construction Managers,NSW,2026-07-01,1136.33333
1332,Engineering Managers,NSW,2026-07-01,115.66667
1333,"Importers, Exporters and Wholesalers",NSW,2026-07-01,8.66667
1334,Manufacturers,NSW,2026-07-01,12
1335,Production Managers,NSW,2026-07-01,349.66667
1336,"Supply, Distribution and Procurement Managers",NSW,2026-07-01,173
1341,Child Care Centre Managers,NSW,2026-07-01,85.33333
1342,Health and Welfare Services Managers,NSW,2026-07-01,98.33333
1343,School Principals,NSW,2026-07-01,45.33333
1344,Other Education Managers,NSW,2026-07-01,28.33333
1351,ICT Managers,NSW,2026-07-01,164.33333
1399,Other Specialist Managers,NSW,2026-07-01,250.66667
1411,Cafe and Restaurant Managers,NSW,2026-07-01,201.66667
1412,Caravan Park and Camping Ground Managers,NSW,2026-07-01,1.33333
1413,Hotel and Motel Managers,NSW,2026-07-01,173
1414,Licensed Club Managers,NSW,2026-07-01,52.66667
1419,Other Accommodation and Hospitality Managers,NSW,2026-07-01,31.33333
1421,Retail Managers,NSW,2026-07-01,1108.33333
1491,"Amusement, Fitness and Sports Centre Managers",NSW,2026-07-01,67
1492,Call or Contact Centre and Customer Service Managers,NSW,2026-07-01,178.33333
1493,Conference and Event Organisers,NSW,2026-07-01,167
1494,Transport Services Managers,NSW,2026-07-01,62
1499,"Other Hospitality, Retail and Service Managers",NSW,2026-07-01,307.33333
2111,"Actors, Dancers and Other Entertainers",NSW,2026-07-01,69.66667
2112,Music Professionals,NSW,2026-07-01,3
2113,Photographers,NSW,2026-07-01,5.66667
2114,Visual Arts and Crafts Professionals,NSW,2026-07-01,1.33333
2121,"Artistic Directors, and Media Producers and Presenters",NSW,2026-07-01,5.66667
2122,"Authors, and Book and Script Editors",NSW,2026-07-01,21
2123,"Film, Television, Radio and Stage Directors",NSW,2026-07-01,28
2124,Journalists and Other Writers,NSW,2026-07-01,248
2211,Accountants,NSW,2026-07-01,1099
2212,"Auditors, Company Secretaries and Corporate Treasurers",NSW,2026-07-01,229.33333
2221,Financial Brokers,NSW,2026-07-01,79.33333
2222,Financial Dealers,NSW,2026-07-01,21
2223,Financial Investment Advisers and Managers,NSW,2026-07-01,222
2231,Human Resource Professionals,NSW,2026-07-01,715.33333
2232,ICT Trainers,NSW,2026-07-01,1.66667
2233,Training and Development Professionals,NSW,2026-07-01,192
2241,"Actuaries, Mathematicians and Statisticians",NSW,2026-07-01,63.66667
2242,"Archivists, Curators and Records Managers",NSW,2026-07-01,21.66667
2243,Economists,NSW,2026-07-01,12
2244,Intelligence and Policy Analysts,NSW,2026-07-01,159.66667
2245,Land Economists and Valuers,NSW,2026-07-01,28.33333
2246,Librarians,NSW,2026-07-01,35.33333
2247,Management and Organisation Analysts,NSW,2026-07-01,260.66667
2249,Other Information and Organisation Professionals,NSW,2026-07-01,60.66667
2251,Advertising and Marketing Professionals,NSW,2026-07-01,664.66667
2252,ICT Sales Professionals,NSW,2026-07-01,12.33333
2253,Public Relations Professionals,NSW,2026-07-01,224.66667
2254,Technical Sales Representatives,NSW,2026-07-01,83.33333
2311,Air Transport Professionals,NSW,2026-07-01,32.66667
2312,Marine Transport Professionals,NSW,2026-07-01,4.33333
2321,Architects and Landscape Architects,NSW,2026-07-01,156.33333
2322,Surveyors and Spatial Scientists,NSW,2026-07-01,105
2323,"Fashion, Industrial and Jewellery Designers",NSW,2026-07-01,32
2324,"Graphic and Web Designers, and Illustrators",NSW,2026-07-01,151
2325,Interior Designers,NSW,2026-07-01,84.66667
2326,Urban and Regional Planners,NSW,2026-07-01,81.66667
2331,Chemical and Materials Engineers,NSW,2026-07-01,7.66667
2332,Civil Engineering Professionals,NSW,2026-07-01,653.33333
2333,Electrical Engineers,NSW,2026-07-01,130
2334,Electronics Engineers,NSW,2026-07-01,16.66667
2335,"Industrial, Mechanical and Production Engineers",NSW,2026-07-01,224.66667
2336,Mining Engineers,NSW,2026-07-01,98.66667
2339,Other Engineering Professionals,NSW,2026-07-01,108.66667
2341,Agricultural and Forestry Scientists,NSW,2026-07-01,7
2342,"Chemists, and Food and Wine Scientists",NSW,2026-07-01,34.33333
2343,Environmental Scientists,NSW,2026-07-01,118.66667
2344,Geologists and Geophysicists,NSW,2026-07-01,18
2345,Life Scientists,NSW,2026-07-01,52
2346,Medical Laboratory Scientists,NSW,2026-07-01,14
2347,Veterinarians,NSW,2026-07-01,49.66667
2349,Other Natural and Physical Science Professionals,NSW,2026-07-01,9
2411,Early Childhood (Pre-primary School) Teachers,NSW,2026-07-01,365.33333
2412,Primary School Teachers,NSW,2026-07-01,100.33333
2413,Middle School Teachers (Aus) / Intermediate School Teachers (NZ),NSW,2026-07-01,0.33333
2414,Secondary School Teachers,NSW,2026-07-01,201
2415,Special Education Teachers,NSW,2026-07-01,13.33333
2421,University Lecturers and Tutors,NSW,2026-07-01,105
2422,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),NSW,2026-07-01,9.66667
2491,Education Advisers and Reviewers,NSW,2026-07-01,13.33333
2492,Private Tutors and Teachers,NSW,2026-07-01,25.33333
2493,Teachers of English to Speakers of Other Languages,NSW,2026-07-01,1.66667
2511,Nutrition Professionals,NSW,2026-07-01,22.66667
2512,Medical Imaging Professionals,NSW,2026-07-01,226.66667
2513,Occupational and Environmental Health Professionals,NSW,2026-07-01,219.33333
2514,Optometrists and Orthoptists,NSW,2026-07-01,37.33333
2515,Pharmacists,NSW,2026-07-01,98.33333
2519,Other Health Diagnostic and Promotion Professionals,NSW,2026-07-01,11
2521,Chiropractors and Osteopaths,NSW,2026-07-01,2.33333
2522,Complementary Health Therapists,NSW,2026-07-01,14.66667
2523,Dental Practitioners,NSW,2026-07-01,141.33333
2524,Occupational Therapists,NSW,2026-07-01,431.66667
2525,Physiotherapists,NSW,2026-07-01,351.33333
2526,Podiatrists,NSW,2026-07-01,46
2527,Audiologists and Speech Pathologists/Therapists,NSW,2026-07-01,281.33333
2531,General Practitioners and Resident Medical Officers,NSW,2026-07-01,2759.66667
2532,Anaesthetists,NSW,2026-07-01,20
2533,Specialist Physicians,NSW,2026-07-01,94
